0 ,/, 3000 ,epoch,Train loss:, 3.863786, acc:, 0.175, Test loss:, 1.693954, acc:, 0.500,---, 0.0389, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 2.840343, acc:, 0.275, Test loss:, 1.674031, acc:, 0.357,---, 0.0390, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 2.610692, acc:, 0.150, Test loss:, 1.576758, acc:, 0.357,---, 0.0391, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 2.194224, acc:, 0.325, Test loss:, 1.452221, acc:, 0.310,---, 0.0387, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 1.778493, acc:, 0.325, Test loss:, 1.357496, acc:, 0.310,---, 0.0388, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 1.516419, acc:, 0.350, Test loss:, 1.264699, acc:, 0.405,---, 0.0394, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 1.498564, acc:, 0.350, Test loss:, 1.257295, acc:, 0.405,---, 0.0390, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.267605, acc:, 0.350, Test loss:, 1.289587, acc:, 0.429,---, 0.0389, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.286268, acc:, 0.475, Test loss:, 1.341632, acc:, 0.381,---, 0.0386, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.330732, acc:, 0.325, Test loss:, 1.367167, acc:, 0.310,---, 0.0386, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.197280, acc:, 0.450, Test loss:, 1.325728, acc:, 0.381,---, 0.0387, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.281383, acc:, 0.375, Test loss:, 1.241356, acc:, 0.524,---, 0.0386, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.247982, acc:, 0.425, Test loss:, 1.183963, acc:, 0.643,---, 0.0387, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.280294, acc:, 0.425, Test loss:, 1.139023, acc:, 0.667,---, 0.0389, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.242972, acc:, 0.400, Test loss:, 1.113141, acc:, 0.714,---, 0.0389, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.228714, acc:, 0.450, Test loss:, 1.091595, acc:, 0.690,---, 0.0390, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.150193, acc:, 0.450, Test loss:, 1.091598, acc:, 0.738,---, 0.0389, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 1.199096, acc:, 0.500, Test loss:, 1.076020, acc:, 0.619,---, 0.0386, seconds ---
18 ,/, 3000 ,epoch,Train loss:, 1.091127, acc:, 0.600, Test loss:, 1.073095, acc:, 0.619,---, 0.0387, seconds ---
19 ,/, 3000 ,epoch,Train loss:, 1.137291, acc:, 0.600, Test loss:, 1.069731, acc:, 0.619,---, 0.0389, seconds ---
20 ,/, 3000 ,epoch,Train loss:, 1.047074, acc:, 0.625, Test loss:, 1.071805, acc:, 0.595,---, 0.0388, seconds ---
21 ,/, 3000 ,epoch,Train loss:, 1.060369, acc:, 0.675, Test loss:, 1.074751, acc:, 0.595,---, 0.0385, seconds ---
22 ,/, 3000 ,epoch,Train loss:, 1.272718, acc:, 0.450, Test loss:, 1.036128, acc:, 0.571,---, 0.0386, seconds ---
23 ,/, 3000 ,epoch,Train loss:, 1.058089, acc:, 0.575, Test loss:, 1.004913, acc:, 0.667,---, 0.0393, seconds ---
24 ,/, 3000 ,epoch,Train loss:, 1.117324, acc:, 0.525, Test loss:, 0.967860, acc:, 0.690,---, 0.0391, seconds ---
25 ,/, 3000 ,epoch,Train loss:, 1.005118, acc:, 0.550, Test loss:, 0.959775, acc:, 0.690,---, 0.0393, seconds ---
26 ,/, 3000 ,epoch,Train loss:, 1.009979, acc:, 0.650, Test loss:, 0.970758, acc:, 0.667,---, 0.0390, seconds ---
27 ,/, 3000 ,epoch,Train loss:, 1.024431, acc:, 0.575, Test loss:, 0.936870, acc:, 0.690,---, 0.0385, seconds ---
28 ,/, 3000 ,epoch,Train loss:, 1.003604, acc:, 0.625, Test loss:, 0.918784, acc:, 0.667,---, 0.0389, seconds ---
29 ,/, 3000 ,epoch,Train loss:, 1.022391, acc:, 0.550, Test loss:, 0.909226, acc:, 0.667,---, 0.0390, seconds ---
30 ,/, 3000 ,epoch,Train loss:, 0.966334, acc:, 0.650, Test loss:, 0.899205, acc:, 0.667,---, 0.0388, seconds ---
31 ,/, 3000 ,epoch,Train loss:, 0.936022, acc:, 0.625, Test loss:, 0.901401, acc:, 0.643,---, 0.0389, seconds ---
32 ,/, 3000 ,epoch,Train loss:, 0.965208, acc:, 0.550, Test loss:, 0.902743, acc:, 0.619,---, 0.0386, seconds ---
33 ,/, 3000 ,epoch,Train loss:, 1.003663, acc:, 0.525, Test loss:, 0.916462, acc:, 0.643,---, 0.0386, seconds ---
34 ,/, 3000 ,epoch,Train loss:, 0.901161, acc:, 0.550, Test loss:, 0.901818, acc:, 0.643,---, 0.0386, seconds ---
35 ,/, 3000 ,epoch,Train loss:, 0.960288, acc:, 0.625, Test loss:, 0.896195, acc:, 0.667,---, 0.0385, seconds ---
36 ,/, 3000 ,epoch,Train loss:, 0.950083, acc:, 0.600, Test loss:, 0.857031, acc:, 0.762,---, 0.0389, seconds ---
37 ,/, 3000 ,epoch,Train loss:, 1.011121, acc:, 0.525, Test loss:, 0.814985, acc:, 0.738,---, 0.0390, seconds ---
38 ,/, 3000 ,epoch,Train loss:, 0.890318, acc:, 0.600, Test loss:, 0.776402, acc:, 0.714,---, 0.0389, seconds ---
39 ,/, 3000 ,epoch,Train loss:, 0.761980, acc:, 0.725, Test loss:, 0.741839, acc:, 0.714,---, 0.0387, seconds ---
40 ,/, 3000 ,epoch,Train loss:, 0.834224, acc:, 0.650, Test loss:, 0.720877, acc:, 0.667,---, 0.0388, seconds ---
41 ,/, 3000 ,epoch,Train loss:, 0.860929, acc:, 0.625, Test loss:, 0.734660, acc:, 0.643,---, 0.0389, seconds ---
42 ,/, 3000 ,epoch,Train loss:, 0.916079, acc:, 0.600, Test loss:, 0.738835, acc:, 0.690,---, 0.0387, seconds ---
43 ,/, 3000 ,epoch,Train loss:, 0.849569, acc:, 0.625, Test loss:, 0.734769, acc:, 0.738,---, 0.0385, seconds ---
44 ,/, 3000 ,epoch,Train loss:, 0.811844, acc:, 0.650, Test loss:, 0.750441, acc:, 0.738,---, 0.0387, seconds ---
