0 ,/, 3000 ,epoch,Train loss:, 6.841330, acc:, 0.175, Test loss:, 2.600423, acc:, 0.143,---, 0.0389, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 4.180493, acc:, 0.225, Test loss:, 2.465059, acc:, 0.143,---, 0.0391, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 3.028597, acc:, 0.300, Test loss:, 2.313341, acc:, 0.333,---, 0.0389, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 3.790310, acc:, 0.250, Test loss:, 2.038547, acc:, 0.381,---, 0.0388, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 2.855011, acc:, 0.350, Test loss:, 1.744889, acc:, 0.405,---, 0.0389, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 3.389508, acc:, 0.250, Test loss:, 1.513912, acc:, 0.429,---, 0.0389, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 2.846901, acc:, 0.150, Test loss:, 1.483464, acc:, 0.452,---, 0.0389, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 2.144748, acc:, 0.225, Test loss:, 1.440329, acc:, 0.381,---, 0.0391, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.943127, acc:, 0.325, Test loss:, 1.480394, acc:, 0.357,---, 0.0388, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.861280, acc:, 0.350, Test loss:, 1.496716, acc:, 0.286,---, 0.0386, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.769009, acc:, 0.325, Test loss:, 1.488462, acc:, 0.310,---, 0.0385, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.770287, acc:, 0.350, Test loss:, 1.425438, acc:, 0.357,---, 0.0389, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.791827, acc:, 0.375, Test loss:, 1.308061, acc:, 0.381,---, 0.0389, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.371126, acc:, 0.375, Test loss:, 1.250529, acc:, 0.429,---, 0.0388, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.302141, acc:, 0.450, Test loss:, 1.184003, acc:, 0.452,---, 0.0389, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.491302, acc:, 0.375, Test loss:, 1.139749, acc:, 0.476,---, 0.0391, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.472831, acc:, 0.325, Test loss:, 1.106377, acc:, 0.524,---, 0.0391, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 1.264003, acc:, 0.300, Test loss:, 1.083711, acc:, 0.452,---, 0.0389, seconds ---
18 ,/, 3000 ,epoch,Train loss:, 1.249896, acc:, 0.450, Test loss:, 1.063193, acc:, 0.476,---, 0.0417, seconds ---
19 ,/, 3000 ,epoch,Train loss:, 1.326335, acc:, 0.475, Test loss:, 1.065105, acc:, 0.524,---, 0.0438, seconds ---
20 ,/, 3000 ,epoch,Train loss:, 1.391326, acc:, 0.375, Test loss:, 1.039114, acc:, 0.619,---, 0.0401, seconds ---
21 ,/, 3000 ,epoch,Train loss:, 1.183547, acc:, 0.375, Test loss:, 1.042185, acc:, 0.667,---, 0.0388, seconds ---
22 ,/, 3000 ,epoch,Train loss:, 1.125118, acc:, 0.550, Test loss:, 1.032685, acc:, 0.690,---, 0.0389, seconds ---
23 ,/, 3000 ,epoch,Train loss:, 1.323563, acc:, 0.275, Test loss:, 1.037189, acc:, 0.714,---, 0.0389, seconds ---
24 ,/, 3000 ,epoch,Train loss:, 1.204585, acc:, 0.400, Test loss:, 1.025531, acc:, 0.643,---, 0.0387, seconds ---
25 ,/, 3000 ,epoch,Train loss:, 1.117637, acc:, 0.475, Test loss:, 1.036452, acc:, 0.643,---, 0.0398, seconds ---
26 ,/, 3000 ,epoch,Train loss:, 1.273114, acc:, 0.400, Test loss:, 1.053577, acc:, 0.595,---, 0.0391, seconds ---
27 ,/, 3000 ,epoch,Train loss:, 1.157269, acc:, 0.525, Test loss:, 1.057331, acc:, 0.548,---, 0.0386, seconds ---
28 ,/, 3000 ,epoch,Train loss:, 1.031587, acc:, 0.550, Test loss:, 1.064291, acc:, 0.500,---, 0.0389, seconds ---
29 ,/, 3000 ,epoch,Train loss:, 1.090340, acc:, 0.525, Test loss:, 1.078728, acc:, 0.500,---, 0.0385, seconds ---
30 ,/, 3000 ,epoch,Train loss:, 1.108651, acc:, 0.475, Test loss:, 1.097944, acc:, 0.524,---, 0.0386, seconds ---
31 ,/, 3000 ,epoch,Train loss:, 1.003847, acc:, 0.650, Test loss:, 1.111827, acc:, 0.452,---, 0.0388, seconds ---
32 ,/, 3000 ,epoch,Train loss:, 1.059735, acc:, 0.500, Test loss:, 1.118657, acc:, 0.452,---, 0.0386, seconds ---
33 ,/, 3000 ,epoch,Train loss:, 1.027291, acc:, 0.550, Test loss:, 1.128964, acc:, 0.452,---, 0.0386, seconds ---
34 ,/, 3000 ,epoch,Train loss:, 0.982953, acc:, 0.525, Test loss:, 1.137114, acc:, 0.500,---, 0.0386, seconds ---
35 ,/, 3000 ,epoch,Train loss:, 1.068992, acc:, 0.525, Test loss:, 1.162609, acc:, 0.571,---, 0.0385, seconds ---
36 ,/, 3000 ,epoch,Train loss:, 1.042052, acc:, 0.575, Test loss:, 1.165563, acc:, 0.571,---, 0.0386, seconds ---
37 ,/, 3000 ,epoch,Train loss:, 0.991885, acc:, 0.550, Test loss:, 1.163423, acc:, 0.548,---, 0.0385, seconds ---
38 ,/, 3000 ,epoch,Train loss:, 1.040382, acc:, 0.525, Test loss:, 1.155602, acc:, 0.548,---, 0.0385, seconds ---
39 ,/, 3000 ,epoch,Train loss:, 0.910025, acc:, 0.600, Test loss:, 1.136555, acc:, 0.548,---, 0.0385, seconds ---
40 ,/, 3000 ,epoch,Train loss:, 1.025223, acc:, 0.575, Test loss:, 1.111542, acc:, 0.571,---, 0.0385, seconds ---
41 ,/, 3000 ,epoch,Train loss:, 1.028439, acc:, 0.550, Test loss:, 1.107965, acc:, 0.595,---, 0.0386, seconds ---
