0 ,/, 3000 ,epoch,Train loss:, 4.779281, acc:, 0.350, Test loss:, 2.773654, acc:, 0.405,---, 0.0395, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 3.863534, acc:, 0.225, Test loss:, 2.176080, acc:, 0.405,---, 0.0397, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 2.640378, acc:, 0.300, Test loss:, 1.837852, acc:, 0.333,---, 0.0391, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 2.393051, acc:, 0.325, Test loss:, 1.610519, acc:, 0.286,---, 0.0389, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 2.310740, acc:, 0.325, Test loss:, 1.531472, acc:, 0.214,---, 0.0390, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 1.569331, acc:, 0.350, Test loss:, 1.475481, acc:, 0.214,---, 0.0390, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 1.506023, acc:, 0.400, Test loss:, 1.405325, acc:, 0.310,---, 0.0389, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.693748, acc:, 0.350, Test loss:, 1.360210, acc:, 0.310,---, 0.0389, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.480622, acc:, 0.275, Test loss:, 1.308813, acc:, 0.452,---, 0.0387, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.203992, acc:, 0.600, Test loss:, 1.249589, acc:, 0.571,---, 0.0388, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.255317, acc:, 0.400, Test loss:, 1.237671, acc:, 0.571,---, 0.0389, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.205944, acc:, 0.425, Test loss:, 1.240329, acc:, 0.548,---, 0.0389, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.066972, acc:, 0.400, Test loss:, 1.150481, acc:, 0.595,---, 0.0385, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.216518, acc:, 0.325, Test loss:, 1.133637, acc:, 0.571,---, 0.0388, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.116935, acc:, 0.525, Test loss:, 1.177268, acc:, 0.571,---, 0.0390, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.063927, acc:, 0.550, Test loss:, 1.183671, acc:, 0.548,---, 0.0385, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.099422, acc:, 0.550, Test loss:, 1.184019, acc:, 0.500,---, 0.0386, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 1.152291, acc:, 0.500, Test loss:, 1.169255, acc:, 0.571,---, 0.0386, seconds ---
18 ,/, 3000 ,epoch,Train loss:, 1.115358, acc:, 0.475, Test loss:, 1.172612, acc:, 0.619,---, 0.0387, seconds ---
19 ,/, 3000 ,epoch,Train loss:, 1.075049, acc:, 0.450, Test loss:, 1.172263, acc:, 0.643,---, 0.0387, seconds ---
20 ,/, 3000 ,epoch,Train loss:, 1.122637, acc:, 0.475, Test loss:, 1.178200, acc:, 0.667,---, 0.0385, seconds ---
21 ,/, 3000 ,epoch,Train loss:, 1.042768, acc:, 0.500, Test loss:, 1.161373, acc:, 0.690,---, 0.0385, seconds ---
22 ,/, 3000 ,epoch,Train loss:, 1.117954, acc:, 0.475, Test loss:, 1.164525, acc:, 0.738,---, 0.0387, seconds ---
23 ,/, 3000 ,epoch,Train loss:, 1.072955, acc:, 0.550, Test loss:, 1.160801, acc:, 0.714,---, 0.0384, seconds ---
24 ,/, 3000 ,epoch,Train loss:, 1.143006, acc:, 0.500, Test loss:, 1.161033, acc:, 0.738,---, 0.0386, seconds ---
25 ,/, 3000 ,epoch,Train loss:, 0.972402, acc:, 0.550, Test loss:, 1.161838, acc:, 0.690,---, 0.0387, seconds ---
26 ,/, 3000 ,epoch,Train loss:, 0.961771, acc:, 0.675, Test loss:, 1.177924, acc:, 0.667,---, 0.0389, seconds ---
27 ,/, 3000 ,epoch,Train loss:, 1.025971, acc:, 0.500, Test loss:, 1.172186, acc:, 0.667,---, 0.0387, seconds ---
28 ,/, 3000 ,epoch,Train loss:, 0.979811, acc:, 0.600, Test loss:, 1.184514, acc:, 0.690,---, 0.0388, seconds ---
29 ,/, 3000 ,epoch,Train loss:, 1.030724, acc:, 0.600, Test loss:, 1.196601, acc:, 0.667,---, 0.0385, seconds ---
30 ,/, 3000 ,epoch,Train loss:, 0.947643, acc:, 0.625, Test loss:, 1.201157, acc:, 0.690,---, 0.0385, seconds ---
31 ,/, 3000 ,epoch,Train loss:, 0.982598, acc:, 0.575, Test loss:, 1.217121, acc:, 0.643,---, 0.0387, seconds ---
32 ,/, 3000 ,epoch,Train loss:, 0.917500, acc:, 0.575, Test loss:, 1.215018, acc:, 0.690,---, 0.0385, seconds ---
33 ,/, 3000 ,epoch,Train loss:, 0.931011, acc:, 0.625, Test loss:, 1.220077, acc:, 0.690,---, 0.0385, seconds ---
34 ,/, 3000 ,epoch,Train loss:, 0.972076, acc:, 0.650, Test loss:, 1.242167, acc:, 0.667,---, 0.0385, seconds ---
35 ,/, 3000 ,epoch,Train loss:, 0.994537, acc:, 0.650, Test loss:, 1.258814, acc:, 0.690,---, 0.0386, seconds ---
36 ,/, 3000 ,epoch,Train loss:, 1.062227, acc:, 0.475, Test loss:, 1.272626, acc:, 0.690,---, 0.0385, seconds ---
37 ,/, 3000 ,epoch,Train loss:, 0.873882, acc:, 0.675, Test loss:, 1.254233, acc:, 0.690,---, 0.0385, seconds ---
38 ,/, 3000 ,epoch,Train loss:, 0.996024, acc:, 0.550, Test loss:, 1.265286, acc:, 0.690,---, 0.0385, seconds ---
39 ,/, 3000 ,epoch,Train loss:, 0.914420, acc:, 0.650, Test loss:, 1.318776, acc:, 0.667,---, 0.0385, seconds ---
