0 ,/, 3000 ,epoch,Train loss:, 6.057943, acc:, 0.050, Test loss:, 3.516813, acc:, 0.119,---, 0.0389, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 4.431405, acc:, 0.100, Test loss:, 2.953671, acc:, 0.119,---, 0.0391, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 3.467120, acc:, 0.150, Test loss:, 2.536241, acc:, 0.095,---, 0.0389, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 2.971137, acc:, 0.200, Test loss:, 2.203695, acc:, 0.095,---, 0.0387, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 2.175891, acc:, 0.225, Test loss:, 1.832471, acc:, 0.095,---, 0.0390, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 1.850203, acc:, 0.275, Test loss:, 1.672984, acc:, 0.143,---, 0.0390, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 1.813896, acc:, 0.300, Test loss:, 1.567065, acc:, 0.190,---, 0.0388, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.632355, acc:, 0.250, Test loss:, 1.464916, acc:, 0.238,---, 0.0388, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.596694, acc:, 0.250, Test loss:, 1.410955, acc:, 0.262,---, 0.0388, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.515267, acc:, 0.325, Test loss:, 1.404236, acc:, 0.333,---, 0.0389, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.431602, acc:, 0.275, Test loss:, 1.382788, acc:, 0.357,---, 0.0389, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.374599, acc:, 0.275, Test loss:, 1.348842, acc:, 0.429,---, 0.0389, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.482706, acc:, 0.225, Test loss:, 1.324154, acc:, 0.405,---, 0.0389, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.372391, acc:, 0.275, Test loss:, 1.315673, acc:, 0.452,---, 0.0390, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.396432, acc:, 0.250, Test loss:, 1.307831, acc:, 0.476,---, 0.0389, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.368796, acc:, 0.250, Test loss:, 1.305986, acc:, 0.476,---, 0.0389, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.415020, acc:, 0.250, Test loss:, 1.304074, acc:, 0.452,---, 0.0388, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 1.400200, acc:, 0.300, Test loss:, 1.311164, acc:, 0.429,---, 0.0389, seconds ---
18 ,/, 3000 ,epoch,Train loss:, 1.314973, acc:, 0.325, Test loss:, 1.291194, acc:, 0.405,---, 0.0385, seconds ---
19 ,/, 3000 ,epoch,Train loss:, 1.349126, acc:, 0.450, Test loss:, 1.284322, acc:, 0.405,---, 0.0389, seconds ---
20 ,/, 3000 ,epoch,Train loss:, 1.330290, acc:, 0.450, Test loss:, 1.260314, acc:, 0.405,---, 0.0389, seconds ---
21 ,/, 3000 ,epoch,Train loss:, 1.359126, acc:, 0.425, Test loss:, 1.266990, acc:, 0.405,---, 0.0388, seconds ---
22 ,/, 3000 ,epoch,Train loss:, 1.290101, acc:, 0.475, Test loss:, 1.263530, acc:, 0.405,---, 0.0385, seconds ---
23 ,/, 3000 ,epoch,Train loss:, 1.270661, acc:, 0.475, Test loss:, 1.246407, acc:, 0.500,---, 0.0386, seconds ---
24 ,/, 3000 ,epoch,Train loss:, 1.322932, acc:, 0.400, Test loss:, 1.225750, acc:, 0.524,---, 0.0389, seconds ---
25 ,/, 3000 ,epoch,Train loss:, 1.218595, acc:, 0.450, Test loss:, 1.209084, acc:, 0.500,---, 0.0393, seconds ---
26 ,/, 3000 ,epoch,Train loss:, 1.358316, acc:, 0.425, Test loss:, 1.175656, acc:, 0.476,---, 0.0390, seconds ---
27 ,/, 3000 ,epoch,Train loss:, 1.209702, acc:, 0.450, Test loss:, 1.170153, acc:, 0.476,---, 0.0389, seconds ---
28 ,/, 3000 ,epoch,Train loss:, 1.260715, acc:, 0.375, Test loss:, 1.165178, acc:, 0.476,---, 0.0389, seconds ---
29 ,/, 3000 ,epoch,Train loss:, 1.191910, acc:, 0.500, Test loss:, 1.164066, acc:, 0.500,---, 0.0389, seconds ---
30 ,/, 3000 ,epoch,Train loss:, 1.128736, acc:, 0.525, Test loss:, 1.160149, acc:, 0.500,---, 0.0391, seconds ---
31 ,/, 3000 ,epoch,Train loss:, 1.206777, acc:, 0.450, Test loss:, 1.149624, acc:, 0.476,---, 0.0390, seconds ---
32 ,/, 3000 ,epoch,Train loss:, 1.128498, acc:, 0.525, Test loss:, 1.142428, acc:, 0.476,---, 0.0389, seconds ---
33 ,/, 3000 ,epoch,Train loss:, 1.112333, acc:, 0.450, Test loss:, 1.133361, acc:, 0.476,---, 0.0387, seconds ---
34 ,/, 3000 ,epoch,Train loss:, 1.064481, acc:, 0.525, Test loss:, 1.099924, acc:, 0.500,---, 0.0387, seconds ---
