0 ,/, 3000 ,epoch,Train loss:, 3.337416, acc:, 0.200, Test loss:, 2.035105, acc:, 0.143,---, 0.0392, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 2.502237, acc:, 0.300, Test loss:, 1.983180, acc:, 0.143,---, 0.0388, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 1.608733, acc:, 0.325, Test loss:, 1.971636, acc:, 0.190,---, 0.0389, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 1.477929, acc:, 0.350, Test loss:, 1.819752, acc:, 0.310,---, 0.0509, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 1.634530, acc:, 0.325, Test loss:, 1.634605, acc:, 0.262,---, 0.0388, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 1.412360, acc:, 0.375, Test loss:, 1.518613, acc:, 0.238,---, 0.0386, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 1.134591, acc:, 0.500, Test loss:, 1.384582, acc:, 0.286,---, 0.0388, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.174531, acc:, 0.475, Test loss:, 1.363969, acc:, 0.381,---, 0.0388, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.302058, acc:, 0.275, Test loss:, 1.276990, acc:, 0.429,---, 0.0387, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.271515, acc:, 0.500, Test loss:, 1.260926, acc:, 0.476,---, 0.0386, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.244982, acc:, 0.425, Test loss:, 1.288367, acc:, 0.476,---, 0.0387, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.191341, acc:, 0.400, Test loss:, 1.297373, acc:, 0.548,---, 0.0387, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.273951, acc:, 0.425, Test loss:, 1.255475, acc:, 0.595,---, 0.0386, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.298896, acc:, 0.425, Test loss:, 1.237256, acc:, 0.524,---, 0.0388, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.252401, acc:, 0.350, Test loss:, 1.233072, acc:, 0.548,---, 0.0387, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.185525, acc:, 0.500, Test loss:, 1.238884, acc:, 0.500,---, 0.0387, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.237303, acc:, 0.500, Test loss:, 1.232569, acc:, 0.476,---, 0.0386, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 1.188583, acc:, 0.425, Test loss:, 1.221792, acc:, 0.452,---, 0.0388, seconds ---
18 ,/, 3000 ,epoch,Train loss:, 1.164092, acc:, 0.425, Test loss:, 1.205836, acc:, 0.500,---, 0.0389, seconds ---
19 ,/, 3000 ,epoch,Train loss:, 1.195452, acc:, 0.450, Test loss:, 1.116389, acc:, 0.548,---, 0.0388, seconds ---
20 ,/, 3000 ,epoch,Train loss:, 1.289955, acc:, 0.475, Test loss:, 1.080606, acc:, 0.548,---, 0.0388, seconds ---
21 ,/, 3000 ,epoch,Train loss:, 1.089405, acc:, 0.475, Test loss:, 1.074524, acc:, 0.548,---, 0.0389, seconds ---
22 ,/, 3000 ,epoch,Train loss:, 1.102197, acc:, 0.475, Test loss:, 1.040849, acc:, 0.571,---, 0.0388, seconds ---
23 ,/, 3000 ,epoch,Train loss:, 1.162683, acc:, 0.525, Test loss:, 1.019201, acc:, 0.548,---, 0.0388, seconds ---
24 ,/, 3000 ,epoch,Train loss:, 1.179821, acc:, 0.475, Test loss:, 1.014651, acc:, 0.524,---, 0.0395, seconds ---
25 ,/, 3000 ,epoch,Train loss:, 1.195288, acc:, 0.450, Test loss:, 0.973835, acc:, 0.643,---, 0.0387, seconds ---
26 ,/, 3000 ,epoch,Train loss:, 1.154100, acc:, 0.425, Test loss:, 1.012915, acc:, 0.667,---, 0.0385, seconds ---
27 ,/, 3000 ,epoch,Train loss:, 1.134343, acc:, 0.550, Test loss:, 1.012835, acc:, 0.643,---, 0.0384, seconds ---
28 ,/, 3000 ,epoch,Train loss:, 1.210395, acc:, 0.475, Test loss:, 1.008867, acc:, 0.667,---, 0.0386, seconds ---
29 ,/, 3000 ,epoch,Train loss:, 1.240293, acc:, 0.525, Test loss:, 1.057574, acc:, 0.595,---, 0.0385, seconds ---
30 ,/, 3000 ,epoch,Train loss:, 1.155356, acc:, 0.600, Test loss:, 1.041288, acc:, 0.571,---, 0.0384, seconds ---
31 ,/, 3000 ,epoch,Train loss:, 1.050784, acc:, 0.525, Test loss:, 1.090305, acc:, 0.500,---, 0.0385, seconds ---
32 ,/, 3000 ,epoch,Train loss:, 1.029987, acc:, 0.525, Test loss:, 1.113763, acc:, 0.429,---, 0.0384, seconds ---
33 ,/, 3000 ,epoch,Train loss:, 1.198477, acc:, 0.575, Test loss:, 1.119240, acc:, 0.405,---, 0.0385, seconds ---
34 ,/, 3000 ,epoch,Train loss:, 1.068027, acc:, 0.475, Test loss:, 1.073496, acc:, 0.381,---, 0.0385, seconds ---
35 ,/, 3000 ,epoch,Train loss:, 1.186462, acc:, 0.400, Test loss:, 1.051071, acc:, 0.452,---, 0.0383, seconds ---
36 ,/, 3000 ,epoch,Train loss:, 1.154666, acc:, 0.500, Test loss:, 1.073871, acc:, 0.429,---, 0.0386, seconds ---
37 ,/, 3000 ,epoch,Train loss:, 1.040005, acc:, 0.600, Test loss:, 1.024168, acc:, 0.524,---, 0.0383, seconds ---
38 ,/, 3000 ,epoch,Train loss:, 1.057124, acc:, 0.450, Test loss:, 0.987151, acc:, 0.548,---, 0.0385, seconds ---
39 ,/, 3000 ,epoch,Train loss:, 1.100994, acc:, 0.600, Test loss:, 0.964886, acc:, 0.571,---, 0.0385, seconds ---
40 ,/, 3000 ,epoch,Train loss:, 1.064868, acc:, 0.600, Test loss:, 0.940909, acc:, 0.571,---, 0.0386, seconds ---
41 ,/, 3000 ,epoch,Train loss:, 1.023708, acc:, 0.625, Test loss:, 0.913056, acc:, 0.595,---, 0.0389, seconds ---
42 ,/, 3000 ,epoch,Train loss:, 0.980222, acc:, 0.600, Test loss:, 0.834296, acc:, 0.667,---, 0.0388, seconds ---
43 ,/, 3000 ,epoch,Train loss:, 0.896341, acc:, 0.575, Test loss:, 0.834181, acc:, 0.595,---, 0.0388, seconds ---
44 ,/, 3000 ,epoch,Train loss:, 0.955593, acc:, 0.625, Test loss:, 0.843139, acc:, 0.643,---, 0.0389, seconds ---
