0 ,/, 3000 ,epoch,Train loss:, 4.956489, acc:, 0.225, Test loss:, 2.515996, acc:, 0.143,---, 0.0388, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 3.925867, acc:, 0.200, Test loss:, 1.955590, acc:, 0.143,---, 0.0387, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 2.932036, acc:, 0.225, Test loss:, 1.777231, acc:, 0.167,---, 0.0389, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 2.573331, acc:, 0.325, Test loss:, 1.641140, acc:, 0.214,---, 0.0502, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 2.365493, acc:, 0.275, Test loss:, 1.461082, acc:, 0.143,---, 0.0389, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 2.144868, acc:, 0.175, Test loss:, 1.271582, acc:, 0.238,---, 0.0390, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 2.141329, acc:, 0.275, Test loss:, 1.184154, acc:, 0.405,---, 0.0389, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.816646, acc:, 0.300, Test loss:, 1.156306, acc:, 0.452,---, 0.0386, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.975681, acc:, 0.200, Test loss:, 1.162349, acc:, 0.548,---, 0.0388, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.298125, acc:, 0.475, Test loss:, 1.128343, acc:, 0.548,---, 0.0386, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.321085, acc:, 0.425, Test loss:, 1.123780, acc:, 0.571,---, 0.0390, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.459194, acc:, 0.425, Test loss:, 1.092788, acc:, 0.619,---, 0.0392, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.327193, acc:, 0.475, Test loss:, 1.081259, acc:, 0.595,---, 0.0387, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.240674, acc:, 0.425, Test loss:, 1.073087, acc:, 0.548,---, 0.0387, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.425668, acc:, 0.425, Test loss:, 1.071078, acc:, 0.595,---, 0.0387, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.515771, acc:, 0.250, Test loss:, 1.064448, acc:, 0.619,---, 0.0386, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.168354, acc:, 0.450, Test loss:, 1.066127, acc:, 0.571,---, 0.0387, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 1.514566, acc:, 0.350, Test loss:, 1.090512, acc:, 0.571,---, 0.0383, seconds ---
