0 ,/, 3000 ,epoch,Train loss:, 5.365481, acc:, 0.225, Test loss:, 1.883466, acc:, 0.405,---, 0.0389, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 4.306448, acc:, 0.225, Test loss:, 1.535325, acc:, 0.500,---, 0.0392, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 2.621199, acc:, 0.350, Test loss:, 1.404743, acc:, 0.476,---, 0.0390, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 2.224803, acc:, 0.350, Test loss:, 1.453552, acc:, 0.310,---, 0.0508, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 2.245935, acc:, 0.225, Test loss:, 1.519951, acc:, 0.310,---, 0.0386, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 1.765867, acc:, 0.325, Test loss:, 1.601123, acc:, 0.357,---, 0.0384, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 1.575995, acc:, 0.275, Test loss:, 1.595464, acc:, 0.452,---, 0.0384, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.618375, acc:, 0.350, Test loss:, 1.559861, acc:, 0.429,---, 0.0384, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.458575, acc:, 0.425, Test loss:, 1.459737, acc:, 0.452,---, 0.0385, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.362159, acc:, 0.450, Test loss:, 1.310851, acc:, 0.452,---, 0.0387, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.375721, acc:, 0.450, Test loss:, 1.315180, acc:, 0.452,---, 0.0386, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.354266, acc:, 0.350, Test loss:, 1.303265, acc:, 0.452,---, 0.0385, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.306024, acc:, 0.400, Test loss:, 1.338613, acc:, 0.429,---, 0.0387, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.320267, acc:, 0.425, Test loss:, 1.323918, acc:, 0.405,---, 0.0386, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.346963, acc:, 0.325, Test loss:, 1.310668, acc:, 0.405,---, 0.0385, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.299885, acc:, 0.300, Test loss:, 1.294985, acc:, 0.405,---, 0.0386, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.159299, acc:, 0.500, Test loss:, 1.308569, acc:, 0.405,---, 0.0388, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 1.271411, acc:, 0.375, Test loss:, 1.313682, acc:, 0.381,---, 0.0383, seconds ---
18 ,/, 3000 ,epoch,Train loss:, 1.227130, acc:, 0.325, Test loss:, 1.325697, acc:, 0.405,---, 0.0384, seconds ---
19 ,/, 3000 ,epoch,Train loss:, 1.255700, acc:, 0.350, Test loss:, 1.358245, acc:, 0.381,---, 0.0385, seconds ---
20 ,/, 3000 ,epoch,Train loss:, 1.257734, acc:, 0.400, Test loss:, 1.360196, acc:, 0.333,---, 0.0384, seconds ---
21 ,/, 3000 ,epoch,Train loss:, 1.258446, acc:, 0.375, Test loss:, 1.370327, acc:, 0.357,---, 0.0384, seconds ---
22 ,/, 3000 ,epoch,Train loss:, 1.235321, acc:, 0.325, Test loss:, 1.382755, acc:, 0.357,---, 0.0392, seconds ---
23 ,/, 3000 ,epoch,Train loss:, 1.206287, acc:, 0.450, Test loss:, 1.375381, acc:, 0.405,---, 0.0391, seconds ---
24 ,/, 3000 ,epoch,Train loss:, 1.224426, acc:, 0.450, Test loss:, 1.378160, acc:, 0.405,---, 0.0388, seconds ---
25 ,/, 3000 ,epoch,Train loss:, 1.269511, acc:, 0.350, Test loss:, 1.380220, acc:, 0.357,---, 0.0389, seconds ---
26 ,/, 3000 ,epoch,Train loss:, 1.213913, acc:, 0.425, Test loss:, 1.350870, acc:, 0.452,---, 0.0384, seconds ---
27 ,/, 3000 ,epoch,Train loss:, 1.190924, acc:, 0.450, Test loss:, 1.352354, acc:, 0.452,---, 0.0386, seconds ---
28 ,/, 3000 ,epoch,Train loss:, 1.204436, acc:, 0.425, Test loss:, 1.355305, acc:, 0.429,---, 0.0383, seconds ---
29 ,/, 3000 ,epoch,Train loss:, 1.144488, acc:, 0.400, Test loss:, 1.360462, acc:, 0.429,---, 0.0391, seconds ---
30 ,/, 3000 ,epoch,Train loss:, 1.115450, acc:, 0.575, Test loss:, 1.366138, acc:, 0.429,---, 0.0386, seconds ---
31 ,/, 3000 ,epoch,Train loss:, 1.173254, acc:, 0.400, Test loss:, 1.376967, acc:, 0.476,---, 0.0383, seconds ---
32 ,/, 3000 ,epoch,Train loss:, 1.163618, acc:, 0.450, Test loss:, 1.394375, acc:, 0.476,---, 0.0385, seconds ---
33 ,/, 3000 ,epoch,Train loss:, 1.277663, acc:, 0.375, Test loss:, 1.391846, acc:, 0.476,---, 0.0383, seconds ---
34 ,/, 3000 ,epoch,Train loss:, 1.124648, acc:, 0.500, Test loss:, 1.407050, acc:, 0.429,---, 0.0385, seconds ---
35 ,/, 3000 ,epoch,Train loss:, 1.105184, acc:, 0.450, Test loss:, 1.410043, acc:, 0.405,---, 0.0384, seconds ---
36 ,/, 3000 ,epoch,Train loss:, 1.137328, acc:, 0.450, Test loss:, 1.416040, acc:, 0.357,---, 0.0383, seconds ---
37 ,/, 3000 ,epoch,Train loss:, 1.182067, acc:, 0.425, Test loss:, 1.404412, acc:, 0.405,---, 0.0386, seconds ---
38 ,/, 3000 ,epoch,Train loss:, 1.215204, acc:, 0.475, Test loss:, 1.422310, acc:, 0.357,---, 0.0390, seconds ---
39 ,/, 3000 ,epoch,Train loss:, 1.084241, acc:, 0.600, Test loss:, 1.438636, acc:, 0.310,---, 0.0385, seconds ---
40 ,/, 3000 ,epoch,Train loss:, 1.080775, acc:, 0.475, Test loss:, 1.440785, acc:, 0.333,---, 0.0386, seconds ---
41 ,/, 3000 ,epoch,Train loss:, 1.061876, acc:, 0.525, Test loss:, 1.447911, acc:, 0.405,---, 0.0383, seconds ---
42 ,/, 3000 ,epoch,Train loss:, 1.048089, acc:, 0.450, Test loss:, 1.438719, acc:, 0.548,---, 0.0385, seconds ---
43 ,/, 3000 ,epoch,Train loss:, 1.229282, acc:, 0.475, Test loss:, 1.453936, acc:, 0.548,---, 0.0385, seconds ---
44 ,/, 3000 ,epoch,Train loss:, 1.075656, acc:, 0.600, Test loss:, 1.468369, acc:, 0.548,---, 0.0384, seconds ---
45 ,/, 3000 ,epoch,Train loss:, 1.162842, acc:, 0.550, Test loss:, 1.472057, acc:, 0.524,---, 0.0385, seconds ---
46 ,/, 3000 ,epoch,Train loss:, 1.117890, acc:, 0.575, Test loss:, 1.467403, acc:, 0.548,---, 0.0385, seconds ---
47 ,/, 3000 ,epoch,Train loss:, 1.050721, acc:, 0.625, Test loss:, 1.462176, acc:, 0.548,---, 0.0384, seconds ---
48 ,/, 3000 ,epoch,Train loss:, 1.092939, acc:, 0.475, Test loss:, 1.463231, acc:, 0.524,---, 0.0385, seconds ---
49 ,/, 3000 ,epoch,Train loss:, 1.087328, acc:, 0.575, Test loss:, 1.461442, acc:, 0.524,---, 0.0384, seconds ---
