0 ,/, 3000 ,epoch,Train loss:, 2.586579, acc:, 0.225, Test loss:, 2.139912, acc:, 0.190,---, 0.7869, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 2.354532, acc:, 0.375, Test loss:, 1.701683, acc:, 0.286,---, 0.0388, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 1.870521, acc:, 0.300, Test loss:, 1.433847, acc:, 0.405,---, 0.0387, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 1.502552, acc:, 0.475, Test loss:, 1.255799, acc:, 0.476,---, 0.0507, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 1.281197, acc:, 0.450, Test loss:, 1.114391, acc:, 0.571,---, 0.0389, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 1.391783, acc:, 0.425, Test loss:, 1.106865, acc:, 0.500,---, 0.0389, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 1.214472, acc:, 0.550, Test loss:, 1.061444, acc:, 0.571,---, 0.0387, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.394748, acc:, 0.400, Test loss:, 1.066131, acc:, 0.619,---, 0.0388, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.498284, acc:, 0.300, Test loss:, 1.064391, acc:, 0.571,---, 0.0385, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.338333, acc:, 0.400, Test loss:, 1.096901, acc:, 0.524,---, 0.0384, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.290017, acc:, 0.350, Test loss:, 1.090726, acc:, 0.500,---, 0.0386, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.159620, acc:, 0.450, Test loss:, 1.060117, acc:, 0.524,---, 0.0385, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.237248, acc:, 0.375, Test loss:, 1.093496, acc:, 0.452,---, 0.0387, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.269991, acc:, 0.525, Test loss:, 1.073119, acc:, 0.476,---, 0.0385, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.117428, acc:, 0.525, Test loss:, 1.082599, acc:, 0.500,---, 0.0384, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.194210, acc:, 0.600, Test loss:, 1.075782, acc:, 0.524,---, 0.0385, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.110059, acc:, 0.450, Test loss:, 1.063718, acc:, 0.524,---, 0.0385, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 1.076663, acc:, 0.600, Test loss:, 1.056872, acc:, 0.524,---, 0.0384, seconds ---
18 ,/, 3000 ,epoch,Train loss:, 1.179336, acc:, 0.525, Test loss:, 1.049213, acc:, 0.524,---, 0.0399, seconds ---
