0 ,/, 3000 ,epoch,Train loss:, 6.212422, acc:, 0.225, Test loss:, 1.695387, acc:, 0.429,---, 0.0388, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 6.601178, acc:, 0.300, Test loss:, 1.246917, acc:, 0.429,---, 0.0390, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 5.063800, acc:, 0.175, Test loss:, 1.337370, acc:, 0.381,---, 0.0390, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 4.006367, acc:, 0.175, Test loss:, 1.425487, acc:, 0.405,---, 0.0505, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 2.246011, acc:, 0.350, Test loss:, 1.523768, acc:, 0.405,---, 0.0387, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 2.748233, acc:, 0.225, Test loss:, 1.536427, acc:, 0.405,---, 0.0386, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 2.072601, acc:, 0.325, Test loss:, 1.332579, acc:, 0.429,---, 0.0384, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.798785, acc:, 0.475, Test loss:, 1.190382, acc:, 0.405,---, 0.0383, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.614991, acc:, 0.425, Test loss:, 1.066152, acc:, 0.476,---, 0.0387, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.560792, acc:, 0.425, Test loss:, 1.029362, acc:, 0.643,---, 0.0387, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.218934, acc:, 0.450, Test loss:, 1.073262, acc:, 0.619,---, 0.0387, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.336223, acc:, 0.450, Test loss:, 1.113899, acc:, 0.619,---, 0.0386, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.444556, acc:, 0.400, Test loss:, 1.122926, acc:, 0.476,---, 0.0385, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.272045, acc:, 0.300, Test loss:, 1.143244, acc:, 0.429,---, 0.0387, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.452432, acc:, 0.350, Test loss:, 1.163600, acc:, 0.452,---, 0.0384, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.384082, acc:, 0.300, Test loss:, 1.176962, acc:, 0.476,---, 0.0386, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.173259, acc:, 0.350, Test loss:, 1.202307, acc:, 0.500,---, 0.0384, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 1.266717, acc:, 0.300, Test loss:, 1.191524, acc:, 0.524,---, 0.0383, seconds ---
18 ,/, 3000 ,epoch,Train loss:, 1.359034, acc:, 0.500, Test loss:, 1.164613, acc:, 0.643,---, 0.0384, seconds ---
19 ,/, 3000 ,epoch,Train loss:, 1.272228, acc:, 0.450, Test loss:, 1.140645, acc:, 0.619,---, 0.0385, seconds ---
20 ,/, 3000 ,epoch,Train loss:, 1.244911, acc:, 0.400, Test loss:, 1.114219, acc:, 0.619,---, 0.0387, seconds ---
21 ,/, 3000 ,epoch,Train loss:, 1.158768, acc:, 0.500, Test loss:, 1.074786, acc:, 0.667,---, 0.0385, seconds ---
22 ,/, 3000 ,epoch,Train loss:, 1.107267, acc:, 0.600, Test loss:, 1.046293, acc:, 0.690,---, 0.0384, seconds ---
23 ,/, 3000 ,epoch,Train loss:, 1.122341, acc:, 0.450, Test loss:, 1.022399, acc:, 0.667,---, 0.0384, seconds ---
24 ,/, 3000 ,epoch,Train loss:, 1.148571, acc:, 0.475, Test loss:, 1.030243, acc:, 0.690,---, 0.0387, seconds ---
25 ,/, 3000 ,epoch,Train loss:, 1.180325, acc:, 0.425, Test loss:, 1.016128, acc:, 0.690,---, 0.0389, seconds ---
26 ,/, 3000 ,epoch,Train loss:, 1.225680, acc:, 0.400, Test loss:, 1.013056, acc:, 0.667,---, 0.0389, seconds ---
27 ,/, 3000 ,epoch,Train loss:, 1.065195, acc:, 0.550, Test loss:, 1.016667, acc:, 0.690,---, 0.0389, seconds ---
28 ,/, 3000 ,epoch,Train loss:, 0.990722, acc:, 0.575, Test loss:, 1.017018, acc:, 0.667,---, 0.0385, seconds ---
29 ,/, 3000 ,epoch,Train loss:, 1.049072, acc:, 0.475, Test loss:, 1.021234, acc:, 0.667,---, 0.0384, seconds ---
30 ,/, 3000 ,epoch,Train loss:, 1.116016, acc:, 0.525, Test loss:, 1.030048, acc:, 0.667,---, 0.0386, seconds ---
31 ,/, 3000 ,epoch,Train loss:, 1.125180, acc:, 0.475, Test loss:, 1.050633, acc:, 0.667,---, 0.0385, seconds ---
32 ,/, 3000 ,epoch,Train loss:, 1.139365, acc:, 0.425, Test loss:, 1.077044, acc:, 0.643,---, 0.0385, seconds ---
33 ,/, 3000 ,epoch,Train loss:, 1.028021, acc:, 0.575, Test loss:, 1.108208, acc:, 0.667,---, 0.0384, seconds ---
34 ,/, 3000 ,epoch,Train loss:, 0.948185, acc:, 0.525, Test loss:, 1.119825, acc:, 0.667,---, 0.0384, seconds ---
35 ,/, 3000 ,epoch,Train loss:, 0.916315, acc:, 0.625, Test loss:, 1.139533, acc:, 0.548,---, 0.0384, seconds ---
36 ,/, 3000 ,epoch,Train loss:, 0.884460, acc:, 0.625, Test loss:, 1.140644, acc:, 0.548,---, 0.0385, seconds ---
37 ,/, 3000 ,epoch,Train loss:, 1.015710, acc:, 0.600, Test loss:, 1.158778, acc:, 0.500,---, 0.0384, seconds ---
38 ,/, 3000 ,epoch,Train loss:, 1.086646, acc:, 0.475, Test loss:, 1.161559, acc:, 0.476,---, 0.0383, seconds ---
39 ,/, 3000 ,epoch,Train loss:, 0.922837, acc:, 0.575, Test loss:, 1.152109, acc:, 0.524,---, 0.0386, seconds ---
40 ,/, 3000 ,epoch,Train loss:, 1.001158, acc:, 0.500, Test loss:, 1.095988, acc:, 0.548,---, 0.0385, seconds ---
41 ,/, 3000 ,epoch,Train loss:, 0.924409, acc:, 0.550, Test loss:, 1.062606, acc:, 0.643,---, 0.0384, seconds ---
42 ,/, 3000 ,epoch,Train loss:, 0.913736, acc:, 0.500, Test loss:, 1.062262, acc:, 0.643,---, 0.0386, seconds ---
43 ,/, 3000 ,epoch,Train loss:, 0.916241, acc:, 0.600, Test loss:, 1.042294, acc:, 0.667,---, 0.0384, seconds ---
44 ,/, 3000 ,epoch,Train loss:, 1.072648, acc:, 0.375, Test loss:, 0.991987, acc:, 0.714,---, 0.0384, seconds ---
45 ,/, 3000 ,epoch,Train loss:, 0.921338, acc:, 0.550, Test loss:, 0.948476, acc:, 0.738,---, 0.0388, seconds ---
46 ,/, 3000 ,epoch,Train loss:, 0.859164, acc:, 0.725, Test loss:, 0.912557, acc:, 0.667,---, 0.0389, seconds ---
47 ,/, 3000 ,epoch,Train loss:, 0.881140, acc:, 0.550, Test loss:, 0.902781, acc:, 0.667,---, 0.0389, seconds ---
48 ,/, 3000 ,epoch,Train loss:, 0.906192, acc:, 0.600, Test loss:, 0.876173, acc:, 0.714,---, 0.0387, seconds ---
49 ,/, 3000 ,epoch,Train loss:, 0.963009, acc:, 0.475, Test loss:, 0.878739, acc:, 0.690,---, 0.0387, seconds ---
