0 ,/, 3000 ,epoch,Train loss:, 3.936507, acc:, 0.125, Test loss:, 2.843143, acc:, 0.024,---, 0.0388, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 3.036138, acc:, 0.250, Test loss:, 1.983743, acc:, 0.095,---, 0.0391, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 2.360925, acc:, 0.225, Test loss:, 1.507018, acc:, 0.286,---, 0.0390, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 1.841313, acc:, 0.250, Test loss:, 1.302389, acc:, 0.405,---, 0.0495, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 1.449516, acc:, 0.350, Test loss:, 1.221184, acc:, 0.405,---, 0.0389, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 1.408757, acc:, 0.450, Test loss:, 1.165486, acc:, 0.429,---, 0.0387, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 1.452286, acc:, 0.400, Test loss:, 1.125104, acc:, 0.429,---, 0.0388, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.228526, acc:, 0.450, Test loss:, 1.091238, acc:, 0.452,---, 0.0400, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.348032, acc:, 0.400, Test loss:, 1.065923, acc:, 0.476,---, 0.0391, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.201184, acc:, 0.400, Test loss:, 1.054229, acc:, 0.524,---, 0.0389, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.177293, acc:, 0.375, Test loss:, 1.061782, acc:, 0.524,---, 0.0388, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.173650, acc:, 0.425, Test loss:, 1.135570, acc:, 0.476,---, 0.0384, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.133702, acc:, 0.425, Test loss:, 1.218677, acc:, 0.476,---, 0.0385, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.179080, acc:, 0.400, Test loss:, 1.232843, acc:, 0.452,---, 0.0385, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.134482, acc:, 0.550, Test loss:, 1.228226, acc:, 0.476,---, 0.0384, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.169143, acc:, 0.425, Test loss:, 1.186357, acc:, 0.548,---, 0.0385, seconds ---
16 ,/, 3000 ,epoch,Train loss:, 1.210918, acc:, 0.375, Test loss:, 1.144615, acc:, 0.571,---, 0.0385, seconds ---
17 ,/, 3000 ,epoch,Train loss:, 1.125490, acc:, 0.500, Test loss:, 1.136531, acc:, 0.524,---, 0.0383, seconds ---
18 ,/, 3000 ,epoch,Train loss:, 1.167196, acc:, 0.525, Test loss:, 1.074515, acc:, 0.595,---, 0.0384, seconds ---
19 ,/, 3000 ,epoch,Train loss:, 1.042618, acc:, 0.525, Test loss:, 1.040324, acc:, 0.571,---, 0.0384, seconds ---
20 ,/, 3000 ,epoch,Train loss:, 1.007094, acc:, 0.500, Test loss:, 1.023455, acc:, 0.548,---, 0.0389, seconds ---
21 ,/, 3000 ,epoch,Train loss:, 1.054960, acc:, 0.500, Test loss:, 1.002992, acc:, 0.595,---, 0.0387, seconds ---
22 ,/, 3000 ,epoch,Train loss:, 0.994456, acc:, 0.475, Test loss:, 1.005910, acc:, 0.571,---, 0.0386, seconds ---
23 ,/, 3000 ,epoch,Train loss:, 0.983408, acc:, 0.500, Test loss:, 0.990083, acc:, 0.524,---, 0.0385, seconds ---
24 ,/, 3000 ,epoch,Train loss:, 1.040370, acc:, 0.400, Test loss:, 0.985242, acc:, 0.524,---, 0.0389, seconds ---
25 ,/, 3000 ,epoch,Train loss:, 0.876034, acc:, 0.650, Test loss:, 0.976292, acc:, 0.524,---, 0.0391, seconds ---
26 ,/, 3000 ,epoch,Train loss:, 1.039256, acc:, 0.475, Test loss:, 0.974222, acc:, 0.524,---, 0.0388, seconds ---
27 ,/, 3000 ,epoch,Train loss:, 0.973814, acc:, 0.475, Test loss:, 0.957804, acc:, 0.619,---, 0.0388, seconds ---
28 ,/, 3000 ,epoch,Train loss:, 1.030245, acc:, 0.600, Test loss:, 0.939918, acc:, 0.667,---, 0.0388, seconds ---
29 ,/, 3000 ,epoch,Train loss:, 0.911090, acc:, 0.500, Test loss:, 0.918677, acc:, 0.762,---, 0.0389, seconds ---
30 ,/, 3000 ,epoch,Train loss:, 0.887305, acc:, 0.575, Test loss:, 0.915065, acc:, 0.714,---, 0.0389, seconds ---
31 ,/, 3000 ,epoch,Train loss:, 0.995566, acc:, 0.475, Test loss:, 0.888322, acc:, 0.714,---, 0.0389, seconds ---
32 ,/, 3000 ,epoch,Train loss:, 0.877683, acc:, 0.675, Test loss:, 0.878528, acc:, 0.762,---, 0.0389, seconds ---
33 ,/, 3000 ,epoch,Train loss:, 1.016888, acc:, 0.575, Test loss:, 0.865829, acc:, 0.786,---, 0.0387, seconds ---
34 ,/, 3000 ,epoch,Train loss:, 0.981407, acc:, 0.500, Test loss:, 0.852066, acc:, 0.738,---, 0.0387, seconds ---
35 ,/, 3000 ,epoch,Train loss:, 0.924916, acc:, 0.500, Test loss:, 0.886712, acc:, 0.690,---, 0.0389, seconds ---
