0 ,/, 3000 ,epoch,Train loss:, 6.019372, acc:, 0.250, Test loss:, 3.907471, acc:, 0.405,---, 0.0388, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 4.753526, acc:, 0.225, Test loss:, 2.647989, acc:, 0.357,---, 0.0389, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 2.957864, acc:, 0.300, Test loss:, 1.863292, acc:, 0.238,---, 0.0388, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 2.256444, acc:, 0.400, Test loss:, 1.658928, acc:, 0.143,---, 0.0508, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 1.962579, acc:, 0.250, Test loss:, 1.859635, acc:, 0.214,---, 0.0388, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 1.837690, acc:, 0.250, Test loss:, 1.913275, acc:, 0.310,---, 0.0385, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 1.978325, acc:, 0.300, Test loss:, 1.850469, acc:, 0.357,---, 0.0386, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.860853, acc:, 0.225, Test loss:, 1.805612, acc:, 0.357,---, 0.0385, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.584051, acc:, 0.350, Test loss:, 1.659023, acc:, 0.333,---, 0.0384, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.561374, acc:, 0.350, Test loss:, 1.487101, acc:, 0.429,---, 0.0385, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.253447, acc:, 0.475, Test loss:, 1.371250, acc:, 0.476,---, 0.0387, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.360972, acc:, 0.475, Test loss:, 1.249278, acc:, 0.548,---, 0.0388, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.211835, acc:, 0.575, Test loss:, 1.193348, acc:, 0.548,---, 0.0388, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.433417, acc:, 0.325, Test loss:, 1.188563, acc:, 0.548,---, 0.0389, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.440524, acc:, 0.325, Test loss:, 1.217034, acc:, 0.548,---, 0.0386, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.132230, acc:, 0.475, Test loss:, 1.198650, acc:, 0.548,---, 0.0386, seconds ---
