0 ,/, 3000 ,epoch,Train loss:, 3.207357, acc:, 0.400, Test loss:, 1.787722, acc:, 0.452,---, 0.0389, seconds ---
1 ,/, 3000 ,epoch,Train loss:, 2.478806, acc:, 0.375, Test loss:, 1.580447, acc:, 0.429,---, 0.0389, seconds ---
2 ,/, 3000 ,epoch,Train loss:, 2.532563, acc:, 0.300, Test loss:, 1.641425, acc:, 0.429,---, 0.0390, seconds ---
3 ,/, 3000 ,epoch,Train loss:, 1.903056, acc:, 0.375, Test loss:, 1.610337, acc:, 0.429,---, 0.0509, seconds ---
4 ,/, 3000 ,epoch,Train loss:, 1.830100, acc:, 0.350, Test loss:, 1.522897, acc:, 0.381,---, 0.0386, seconds ---
5 ,/, 3000 ,epoch,Train loss:, 1.502483, acc:, 0.425, Test loss:, 1.558614, acc:, 0.333,---, 0.0388, seconds ---
6 ,/, 3000 ,epoch,Train loss:, 1.797594, acc:, 0.350, Test loss:, 1.530293, acc:, 0.262,---, 0.0385, seconds ---
7 ,/, 3000 ,epoch,Train loss:, 1.617036, acc:, 0.475, Test loss:, 1.479588, acc:, 0.238,---, 0.0387, seconds ---
8 ,/, 3000 ,epoch,Train loss:, 1.437717, acc:, 0.375, Test loss:, 1.443425, acc:, 0.286,---, 0.0389, seconds ---
9 ,/, 3000 ,epoch,Train loss:, 1.332310, acc:, 0.475, Test loss:, 1.430190, acc:, 0.310,---, 0.0396, seconds ---
10 ,/, 3000 ,epoch,Train loss:, 1.364490, acc:, 0.425, Test loss:, 1.404230, acc:, 0.381,---, 0.0388, seconds ---
11 ,/, 3000 ,epoch,Train loss:, 1.325873, acc:, 0.450, Test loss:, 1.344456, acc:, 0.452,---, 0.0387, seconds ---
12 ,/, 3000 ,epoch,Train loss:, 1.323271, acc:, 0.450, Test loss:, 1.294835, acc:, 0.476,---, 0.0387, seconds ---
13 ,/, 3000 ,epoch,Train loss:, 1.388196, acc:, 0.350, Test loss:, 1.260139, acc:, 0.476,---, 0.0388, seconds ---
14 ,/, 3000 ,epoch,Train loss:, 1.241148, acc:, 0.400, Test loss:, 1.223431, acc:, 0.429,---, 0.0388, seconds ---
15 ,/, 3000 ,epoch,Train loss:, 1.282044, acc:, 0.500, Test loss:, 1.199276, acc:, 0.429,---, 0.0389, seconds ---
