0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,15.780457287184236,0,0,0,0,4.1974789915987865,0,0,0,0,12.840549058546092,0,0,35.303813646208496,0,0,0,0,0,0,0,0,0,0,0,0,10.352331606218009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.924737843112027,0,0,0,29.230305869939382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.689800879322549,0,0,0,0,0,0,0,0,0,12.354992527154641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22.8035209094334,0,0,0,0,0,0,0,0,0,12.98762768668283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12219491466961,0,0,0,0,0,9.473684210531163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.429985223673008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.853627458901402,0,0,0,0,0,0,17.39232716678588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,20.830398028895317,0,0,0,0,0,0,17.21314328134954,0,0,0,0,0,0,0,17.29543397923053,0,0,19.124439840771817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7.045133991536976,0,19.048408994283626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.24373726859034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.684615384613856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08477624461719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.069767441868175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,14.74836294190917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5011490802517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.926996044969867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.866168680685496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.833013071365176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.689631904679654,0,0,0,26.648329607483948,0,10.46575823295381,14.59459459458132,6.896078173146942,0,15.1246851891443,0,0,0,0,0,14.621536553043432,12.730844793710629,14.443373493976452,0,0,21.06688711346436,0,0,0,0,0,0,0,12.158597804867753,0,0,34.5009461858123,10.947238521646966,0,20.730251884512978,0,0,13.755278922902175,0,20.35572859085927,0,0,0,17.5415725644732,0,0,16.975080432533694,0,0,0,0,0,13.447094929117295,0,0,0,0,0,0,0,14.070422535208468,0,0,0,0,14.700628595056143,0,0,0,0,0,0,7.105627509900026,23.278905140647755,0,0,0,0,24.733049601795283,0,0,0,0,0,15.956806194686772,0,0,0,0,0,0,0,0,0,0,0,22.93270671590125,0,0,0,0,0,0,0,0,0,0,0,0,0,17.082332680401034,0,0,0,0,0,0,17.206151600304114,0,0,35.43501966009839,0,0,0,19.27714095153381,0,0,0
0,0,0,0,0,0,0,24.22411456166837,13.74770642201887,0,9.969693391854264,14.036638730182661,19.24373726859356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.76769026722011,0,0,0,0,0,9.12676056338495,0,0,0,0,0,0,0,0,12.568948984903965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.649350649342782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.191361238937729,0,16.843329656160037,14.1331712010093,0,0,0,0,15.022556390978014,0,0,0,0,0,0,0,0,0,0,0,0,0,18.50246924692286,0,0,0,14.372974639923232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1290100300527,0,0,0,0,0,0,0,0,14.51478832444154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49194983017346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0053422747369165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03888024882901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.40709875568873,0,0,0,0,0,0,0,0,0,0,0,11.449856733530213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.45183528529318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.729482064427627,0,0,0,0,0,0,0,0,12.910748133635048,0,0,0,0,0,8.749105981573832,0,0,0,0,0,0,0,0,0,0,0,0,19.371609396905335,0,0,0,9.455252918279339,13.903984640981644,11.147326388767972,0,0,9.194495764466652,0,6.250880093763814,16.628716741747258,0,0,8.901098901090805,0,0,0,0,0,0,0,10.921469063706121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.829224419113405,0,0,7.271319379392244,16.16056594860897,6.9141418007536615,0,0,0,0,27.758963896856805,14.013071355643717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.766773162936758,0,0,0,0,0,28.076928145976073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.826377740621885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,19.157050110220606,0,0,0,0,16.057850434986076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.27750854377781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66839657149111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,22.778631408203836,8.152891152409698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.526081266018505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19.077021722946615,0,0,0,0,0,0,22.11510831312883,0,0,0,0,0,23.00091496930784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.333075261699904,0,0,0,0,0,0,19.983877226591954,0,0,0,0,0,18.620689655155477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
