,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,0,39.38517938565457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76096134014508,21.258158335405298,19.816910358068373,0,0,0,0,0,0,0,0,17.576774601599205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.528021523570583,0,0,0,0,0,0,0,0,0,0,0,0,20.532820914180164,16.789915966395146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.271292045196112,0,10.207290311836138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,11.108896871558185,10.167364016736785,0,0,0,0,0,0,0,0,0,0,22.90513886840935,0,0,0,0,0,0,0,0,0,0,16.23249998504008,0,0,0,11.94244202362455,0,0,0,0,0,0,14.350746554398286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.991096760524291,0,0,0,0,0,0,0,0,0,0,0,0,20.174409086934563,0,0,0,0,0,0,7.120879120872645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.449438202248043,21.23577189114406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,11.465425441240658,0,0,14.277789377407183,0,0,0,0,0,0,0,0,0,0,0,0,10.33026971318799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.808716177606998,0,0,0,0,0,0,4.019851116621654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.792603462590382,0,0,0,9.970919336612527,0,0,0,0,24.15876414504562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.660322688019281,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,21.030504124279574,0,0,0,0,0,0,0,0,0,9.56221992037771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.101694915257359,0,0,0,0,0,0,7.13363836585894,0,0,0,0,0,0,0,0,0,0,0,7.568181818174935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.364545293548895,0,0,0,0,0,15.129446989400527,8.097516933226286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.530249110309798,0,0,0,0,0,0,0,11.58665386748967,0,14.766754767044416,0,0,0,0,12.209986512266017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.541955567966433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0645462615709835,0,0,0,0,0,0,0,0,0,44.86502070259851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,9.842364532017747,0,0,0,0,0,0,0,22.367279639862236,0,0,0,0,35.837922905672805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.132653061232477,22.464953350073642,0,0,0,0,22.260358166612185,0,0,10.290912630020761,0,0,0,0,0,0,0,0,0,0,8.405248327440486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.534509846395697,0,12.459971346945657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,12.323163294735197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.432686579372895,0,0,0,6.8331267755389655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,21.66780096470839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.836174845167424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.66528782203541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4628134597881735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.702405721396083,0,0,0,0,0
9,0,0,0,0,0,13.116109964835049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.954270299732592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.712891849156604,0,0,15.589316112615782,0,0,0,0,18.72580071037972,0,0,0,0,0,0,0,0,0,0,0,19.962464777671155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.392772107417539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.68437291819334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,13.474663724933436,0,0,12.645569620241664,0,0,0,0,0,0,22.50064001694282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.194254181495705,0,0,0,14.681718941689995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37192402654902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,21.524997142972886,0,0,0,0,0,0,0,0,0,12.180867988782728,0,0,13.688547276117363,0,0,0,0,0,0,0,0,0,0,20.804731905262415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.853627458901402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.923344947732422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,16.23283150020177,0,0,0,0,0,0,22.679039012453163,0,0,0,0,0,0,0,0,0,0,0,0,13.706414699382101,0,0,0,0,9.020118615724282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.41043252928267,0,0,0,0,13.95294561470508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
